X1	X2
C00013	C00078
C00020	C00078
C00022	C00078
C00025	C00078
C00079	C00078
C00097	C00078
C00148	C00078
C00407	C00078
C00079	C00004
C00010	C00079
C00013	C00079
C00020	C00079
C00097	C00079
C00148	C00079
C00407	C00079
C00093	C00013
C00093	C00015
C00093	C00111
C00093	C00670
C00096	C00004
C00097	C00148
C00097	C00407
C00097	C01419
C00097	C02291
C00042	C00105
C00106	C00105
C00167	C00105
C00105	C00190
C00429	C00106
C00013	C00122
C00020	C00122
C00022	C00122
C00062	C00122
C00149	C00122
C00295	C00122
C00122	C03406
C00148	C00013
C00020	C00148
C00148	C00407
C00149	C00042
C00149	C00186
C00167	C00190
C00073	C00170
C00042	C00178
C00178	C00906
C00385	C00242
C00025	C00245
C00245	C00042
C00097	C00245
C00267	C00015
C00020	C00267
C00093	C00307
C00588	C00307
C00385	C00042
C00385	C01762
C00407	C00004
C00013	C00407
C00020	C00407
C00407	C00042
C00111	C00447
C05382	C00447
C00245	C00519
C00588	C00670
C00588	C13482
C00035	C00788
C00906	C00004
C00013	C01210
C01210	C13482
C00022	C02291
C02630	C00004
C00047	C03793
C00111	C05378
C00013	C05385
C00167	C05385
C00020	C05512
C00055	C05673
C00055	C05674
C00020	C06192
C00004	AASS
C00004	ACADS
C00004	ACOX3
C00004	ADH1B
C00004	ADH1C
C00004	ADHFE1
C00004	AIFM1
C00004	ALDH1A1
C00004	ALDH1A2
C00004	ALDH3A2
C00004	ALDH4A1
C00004	ALDH6A1
C00004	AMT
C00004	CBR1
C00004	CBR4
C00004	COQ6
C00004	CRYL1
C00004	CYB5R3
C00004	CYB5RL
C00004	CYP2E1
C00004	CYP3A5
C00004	CYP4B1
C00004	CYP4F11
C00004	CYP4F12
C00004	CYP4X1
C00004	DHCR7
C00004	DHRS11
C00004	DHRS12
C00004	DHTKD1
C00004	ELP3
C00004	ESCO2
C00004	FADS2
C00004	GAPDH
C00004	GCSH
C00004	GLDC
C00004	GLUD1
C00004	GPD1
C00004	GPD1L
C00004	H6PD
C00004	HACL1
C00004	HHAT
C00004	HSD17B10
C00004	HSD17B11
C00004	HSD17B4
C00004	IDH2
C00004	LCLAT1
C00004	LDHB
C00004	LDHD
C00004	MDH1
C00004	MDH1B
C00004	MDH2
C00004	MTHFD2
C00004	MTHFR
C00004	NAT10
C00004	NDUFA1
C00004	NDUFA6
C00004	NDUFA8
C00004	NDUFA9
C00004	NDUFAB1
C00004	NDUFB11
C00004	NDUFB2
C00004	NDUFB3
C00004	NDUFB4
C00004	NDUFC1
C00004	NDUFS5
C00004	NSDHL
C00004	NUDT12
C00004	NXN
C00004	OGDHL
C00004	PDHA1
C00004	PDHX
C00004	PHGDH
C00004	PRODH
C00004	PTGR2
C00004	PYCR1
C00004	RDH5
C00004	SC5D
C00004	TSTA3
C00004	UGDH
C00004	ZADH2
C00010	ACADS
C00010	ACAT2
C00010	ACOT13
C00010	ACOT2
C00010	ACOT7
C00010	ACOX3
C00010	ACSM1
C00010	ACSM5
C00010	ACSS3
C00010	ALDH6A1
C00010	ASMTL
C00010	ATAD2
C00010	CBR4
C00010	CPT1A
C00010	DHTKD1
C00010	ELOVL5
C00010	ELOVL6
C00010	ELP3
C00010	ENPP1
C00010	ENPP2
C00010	ESCO2
C00010	GPAM
C00010	HHAT
C00010	HSD17B10
C00010	HSD17B11
C00010	HSD17B4
C00010	KAT5
C00010	LCLAT1
C00010	LPCAT1
C00010	MORC2
C00010	NAT1
C00010	NAT10
C00010	NAT9
C00010	NCOA1
C00010	NDUFAB1
C00010	NUDT19
C00010	OGA
C00010	OGDHL
C00010	PDHA1
C00010	PDHX
C00010	PIAS1
C00010	PIGW
C00010	PTDSS1
C00010	SLC27A1
C00010	SUCLG2
C00010	YOD1
C00010	ZDHHC17
C00010	ZDHHC2
C00010	ZDHHC23
C00010	ZDHHC24
C00013	AARS2
C00013	ACACB
C00013	ACOT2
C00013	ACSM1
C00013	ACSM5
C00013	ACSS3
C00013	ADCY2
C00013	ADCY4
C00013	ADCY5
C00013	ADCY9
C00013	AIMP2
C00013	ASMTL
C00013	ASNS
C00013	ASS1
C00013	ATAD2
C00013	CARNS1
C00013	CMAS
C00013	COQ2
C00013	COX10
C00013	EEF1E1
C00013	ENPP1
C00013	FARSA
C00013	FARSB
C00013	FDPS
C00013	FLAD1
C00013	GMPS
C00013	GNAS
C00013	HPRT1
C00013	LARGE1
C00013	LARGE2
C00013	LIG1
C00013	MAB21L1
C00013	MOCS1
C00013	MOCS2
C00013	MOCS3
C00013	MTPAP
C00013	NARS2
C00013	NPR1
C00013	NUDT1
C00013	NUDT19
C00013	NUDT5
C00013	NUS1
C00013	PAPSS1
C00013	PCCA
C00013	PCYT2
C00013	PDSS1
C00013	POLA1
C00013	POLB
C00013	POLD1
C00013	POLE
C00013	POLI
C00013	POLK
C00013	POLN
C00013	POLQ
C00013	POLR1B
C00013	PPA1
C00013	PPAT
C00013	PRIMPOL
C00013	REV3L
C00013	SLC27A1
C00013	TENT2
C00013	TRIT1
C00013	TTLL3
C00013	UAP1
C00013	YARS2
C00015	A4GALT
C00015	ASMTL
C00015	ATAD2
C00015	B3GALNT2
C00015	B3GALT6
C00015	B3GNT4
C00015	B3GNT5
C00015	B3GNT7
C00015	B4GALNT1
C00015	B4GALT3
C00015	B4GAT1
C00015	CHSY3
C00015	CSGALNACT1
C00015	CSPG5
C00015	DCN
C00015	DNAJB11
C00015	ENTPD3
C00015	ENTPD5
C00015	ENTPD6
C00015	EOGT
C00015	FMOD
C00015	FUT9
C00015	GALNT10
C00015	GALNT15
C00015	GALNT17
C00015	GALNT3
C00015	GALNT6
C00015	GCNT2
C00015	GCNT4
C00015	GLT8D1
C00015	GLT8D2
C00015	GPC2
C00015	GPC3
C00015	HAS3
C00015	HSPA5
C00015	HSPG2
C00015	HYOU1
C00015	LARGE1
C00015	LARGE2
C00015	MGAT4B
C00015	NME1
C00015	NME2
C00015	NUDT19
C00015	OGN
C00015	OMD
C00015	PDIA4
C00015	PDIA6
C00015	PIGH
C00015	PLOD3
C00015	PNPT1
C00015	PRELP
C00015	RRM2
C00015	STT3A
C00015	UGCG
C00015	UGT8
C00019	AMD1
C00019	ASMTL
C00019	COMTD1
C00019	DNMT3B
C00019	DPH5
C00019	DTWD1
C00019	EEF1AKMT4
C00019	ETFBKMT
C00019	EZH1
C00019	EZH2
C00019	GCSH
C00019	HNMT
C00019	INMT
C00019	KMT2B
C00019	LCMT2
C00019	LIAS
C00019	LRTOMT
C00019	MECOM
C00019	MOCS1
C00019	NSD2
C00019	NSUN3
C00019	PNMT
C00019	PRDM16
C00019	PRDM2
C00019	PRDM8
C00019	SETD3
C00019	SETD6
C00019	SETDB2
C00019	SLC25A26
C00019	SUV39H1
C00019	SUV39H2
C00019	TARBP1
C00019	TRMO
C00019	TRMT2B
C00019	ZCCHC4
C00020	AARS2
C00020	ACACB
C00020	ACOT2
C00020	ACSM1
C00020	ACSM5
C00020	ACSS3
C00020	AIMP2
C00020	AK5
C00020	AK7
C00020	AK8
C00020	ASMTL
C00020	ASNS
C00020	ASS1
C00020	ATAD2
C00020	CARNS1
C00020	EEF1E1
C00020	ENPP1
C00020	ENPP2
C00020	ENTPD3
C00020	ENTPD5
C00020	ENTPD6
C00020	ETFDH
C00020	FARSA
C00020	FARSB
C00020	GMPS
C00020	HPRT1
C00020	LIG1
C00020	MOCS2
C00020	MOCS3
C00020	NARS2
C00020	NT5C3A
C00020	NUDT12
C00020	NUDT19
C00020	NUDT5
C00020	PCCA
C00020	PDE1A
C00020	PDE1B
C00020	PDE2A
C00020	PDE3A
C00020	PDE3B
C00020	PDE4A
C00020	PDE4D
C00020	PDE7A
C00020	PDE7B
C00020	PDE8B
C00020	PPAT
C00020	SEPHS1
C00020	SLC27A1
C00020	TKFC
C00020	TPK1
C00020	TRPM2
C00020	TTLL3
C00020	YARS2
C00022	AMD1
C00022	GPT2
C00022	LDHB
C00022	LDHD
C00022	ME1
C00022	ME3
C00022	PDHA1
C00022	PDHX
C00022	RIDA
C00022	SLC16A1
C00022	SLC16A3
C00022	TMEM54
C00022	VDAC1
C00025	AADAT
C00025	AASS
C00025	ABAT
C00025	ALDH4A1
C00025	ASNS
C00025	CAD
C00025	CTPS1
C00025	GCLM
C00025	GGH
C00025	GGT5
C00025	GGT7
C00025	GLUD1
C00025	GMPS
C00025	GPT2
C00025	NAALAD2
C00025	PIAS1
C00025	PPAT
C00025	PSAT1
C00025	SLC17A7
C00025	SLC1A7
C00025	SLC25A13
C00025	SLC7A11
C00025	TTLL3
C00029	B3GNT7
C00029	B4GALT3
C00029	B4GAT1
C00029	CBR4
C00029	ENPP1
C00029	ENPP2
C00029	GALE
C00029	GCNT4
C00029	HSD17B11
C00029	HSD17B4
C00029	LARGE1
C00029	LARGE2
C00029	PLOD3
C00029	UGCG
C00029	UGDH
C00035	ADRA2A
C00035	ADSS
C00035	AK5
C00035	B3GNT7
C00035	B4GALT3
C00035	B4GAT1
C00035	DPM1
C00035	ENTPD3
C00035	ENTPD5
C00035	ENTPD6
C00035	FUT3
C00035	FUT8
C00035	FUT9
C00035	GCNT4
C00035	GNA14
C00035	GNAQ
C00035	GNAS
C00035	GNG11
C00035	GNG12
C00035	GNG2
C00035	HYKK
C00035	LARGE1
C00035	LARGE2
C00035	NME1
C00035	NME2
C00035	PNPT1
C00035	RAPGEF3
C00035	RAPGEF4
C00035	RPL26L1
C00035	RPL3
C00035	RPL30
C00035	RPL39L
C00035	RPS27L
C00035	RRM2
C00035	SECISBP2
C00035	SUCLG2
C00035	TXN
C00035	UCK2
C00042	KDM2B
C00042	KDM8
C00042	OGFOD1
C00042	P4HA1
C00042	P4HB
C00042	P4HTM
C00042	PLOD1
C00042	PLOD3
C00042	SDHC
C00042	SLC25A10
C00042	SUCLG2
C00042	TET1
C00042	TET3
C00043	B3GNT4
C00043	B3GNT5
C00043	B3GNT7
C00043	B4GALT3
C00043	B4GAT1
C00043	CHSY3
C00043	CSGALNACT1
C00043	EOGT
C00043	FMOD
C00043	GALE
C00043	GCNT2
C00043	GCNT4
C00043	GPC2
C00043	GPC3
C00043	HAS3
C00043	HSPG2
C00043	LARGE1
C00043	LARGE2
C00043	MGAT4B
C00043	OGN
C00043	OMD
C00043	PIGH
C00043	PRELP
C00043	UAP1
C00047	AASS
C00047	BTD
C00047	CARNS1
C00047	SLC22A5
C00047	SLC7A2
C00051	CHAC1
C00051	CHAC2
C00051	GCLM
C00051	GGT5
C00051	GGT7
C00051	GPX3
C00051	GSTM2
C00051	GSTM3
C00051	GSTM5
C00051	LTC4S
C00051	PRDX1
C00051	PRDX3
C00051	SLC25A10
C00051	SLCO2A1
C00055	AK5
C00055	AK7
C00055	AK8
C00055	ASMTL
C00055	ATAD2
C00055	ENPP1
C00055	ENTPD3
C00055	ENTPD5
C00055	ENTPD6
C00055	FMOD
C00055	NT5C3A
C00055	NUDT19
C00055	OGN
C00055	OMD
C00055	PRELP
C00055	PTDSS1
C00055	SELENOI
C00055	ST3GAL5
C00055	ST6GALNAC6
C00055	ST8SIA5
C00055	UCK2
C00062	ARG2
C00062	CARNS1
C00062	NOS3
C00062	SLC7A2
C00073	ACE2
C00073	ASMTL
C00073	EEF1AKMT4
C00073	ETFBKMT
C00073	LIAS
C00073	MOCS1
C00073	MSRA
C00073	MSRB3
C00073	NSUN3
C00073	PRDM8
C00073	SETD6
C00073	SLC22A5
C00073	SLC43A1
C00073	SLC7A5
C00073	TRMO
C00073	TXN
C00073	ZCCHC4
C00078	ACE2
C00078	IDO1
C00078	SLC7A5
C00078	TTLL3
C00079	ACE2
C00079	FARSA
C00079	FARSB
C00079	SLC43A1
C00079	SLC7A2
C00079	SLC7A5
C00079	SLC7A8
C00079	TTLL3
C00093	GPAM
C00093	GPD1
C00093	GPD1L
C00093	SLC37A1
C00093	SMPDL3A
C00093	SMPDL3B
C00093	USB1
C00096	ASMTL
C00096	ATAD2
C00096	B3GNT7
C00096	B4GALT3
C00096	B4GAT1
C00096	DPM1
C00096	GCNT4
C00096	GMDS
C00096	LARGE1
C00096	LARGE2
C00096	NUDT19
C00097	ACE2
C00097	CBS
C00097	CSAD
C00097	GCLM
C00097	GGCT
C00097	MOCOS
C00097	SLC7A5
C00097	SLC7A8
C00105	ASMTL
C00105	ATAD2
C00105	ENPP1
C00105	ENPP2
C00105	ENTPD3
C00105	ENTPD5
C00105	ENTPD6
C00105	NT5C3A
C00105	NUDT19
C00105	SLC35A2
C00105	UCK2
C00111	ALPL
C00111	GPD1
C00111	GPD1L
C00111	TKFC
C00111	TPI1
C00122	FH
C00122	SDHC
C00122	SLC25A10
C00122	SUCLG2
C00148	ACE2
C00148	P4HA1
C00148	P4HB
C00148	PRODH
C00148	PYCR1
C00148	SLC7A5
C00149	FH
C00149	MDH1
C00149	MDH1B
C00149	MDH2
C00149	ME1
C00149	ME3
C00149	SLC25A10
C00153	ART3
C00153	BST1
C00153	HNMT
C00153	PARP3
C00153	PARP8
C00153	SIRT3
C00153	SIRT7
C00153	TIPARP
C00153	TNKS2
C00167	B3GNT7
C00167	B4GALT3
C00167	B4GAT1
C00167	CHSY3
C00167	CSGALNACT1
C00167	CSPG5
C00167	DCN
C00167	DNAJB11
C00167	GCNT4
C00167	GPC2
C00167	GPC3
C00167	HAS3
C00167	HSPA5
C00167	HSPG2
C00167	HYOU1
C00167	LARGE1
C00167	LARGE2
C00167	PDIA4
C00167	PDIA6
C00167	UGDH
C00170	DTWD1
C00170	SMS
C00186	ALDH1A1
C00186	ALDH1A2
C00186	ALDH3A2
C00186	ALDH4A1
C00186	ALDH6A1
C00186	LDHB
C00186	LDHD
C00186	SLC16A1
C00186	SLC16A3
C00190	CSPG5
C00190	DCN
C00190	GPC2
C00190	GPC3
C00190	HSPG2
C00190	LARGE1
C00190	LARGE2
C00242	DNPH1
C00242	HPRT1
C00245	CSAD
C00245	FMO1
C00245	FMO2
C00245	FMO5
C00245	GGT5
C00245	GGT7
C00255	ABCG2
C00255	MTHFR
C00255	SLC52A2
C00267	GALC
C00267	GANC
C00267	SLC2A1
C00300	CKMT1A
C00300	CKMT1B
C00300	CKMT2
C00300	SLC6A11
C00307	PTDSS1
C00365	DTYMK
C00365	HDDC2
C00365	NT5C3A
C00365	TK1
C00365	TK2
C00365	TYMS
C00385	HPRT1
C00407	ACE2
C00407	SLC43A1
C00407	SLC7A5
C00429	DPYSL3
C00438	CAD
C00447	FBP1
C00519	CSAD
C00519	FMO1
C00519	FMO2
C00519	FMO5
C00570	PCYT2
C00570	PTDSS1
C00570	SELENOI
C00588	SMPD1
C00588	SMPD4
C00670	JMJD7-PLA2G4B
C00670	LYPLA2
C00670	PLB1
C00670	PNPLA7
C00788	ADRA2A
C00788	GNG11
C00788	GNG12
C00788	GNG2
C00788	LRTOMT
C00788	MAOA
C00788	PNMT
C00800	CRYL1
C01419	CHAC1
C01419	CHAC2
C01419	GGT5
C01419	GGT7
C01762	NT5C3A
C02291	CBS
C02630	PHGDH
C02862	CPT1A
C02862	SLC25A20
C03242	ACOT2
C03242	ACOT7
C03242	ELOVL5
C03406	ASS1
C03793	KDM8
C03793	MYRF
C03793	TRABD2B
C04376	GART
C05378	FBP1
C05382	FBP1
C05382	TALDO1
C05382	TKT
C05512	HDDC2
C05581	MAOA
C05673	PCYT2
C05673	PTDSS1
C05673	SELENOI
C06241	NANP
C06429	ACOT2
C06429	ACOT7
C06429	CYP2E1
C06429	CYP4V2
C16513	ACOT13
C16513	ELOVL5
C16513	YOD1
