gene_id	beta	HR (95% CI for HR)	wald.test	p.value
c(beta = "-1.5e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	-1.5e-09	1 (1-1)	0	0.95
c(beta = "-2e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.19", 	-2e-08	1 (1-1)	0.19	0.67
c(beta = "-1.3e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.07", 	-1.3e-07	1 (1-1)	0.07	0.79
c(beta = "1.3e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "2", 	1.3e-06	1 (1-1)	2	0.16
c(beta = "3.4e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "2.4", 	3.4e-06	1 (1-1)	2.4	0.12
c(beta = "-1.9e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	-1.9e-07	1 (1-1)	0.01	0.93
c(beta = "-1.6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	-1.6e-07	1 (1-1)	0.01	0.94
c(beta = "2.9e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "3.3", 	2.9e-07	1 (1-1)	3.3	0.068
c(beta = "7.1e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.36", 	7.1e-06	1 (1-1)	0.36	0.55
c(beta = "-1.2e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.2", 	-1.2e-06	1 (1-1)	0.2	0.66
c(beta = "2e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.68", 	2e-06	1 (1-1)	0.68	0.41
c(beta = "-6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.44", 	-6e-07	1 (1-1)	0.44	0.51
c(beta = "5.9e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.04", 	5.9e-09	1 (1-1)	0.04	0.85
c(beta = "1.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	1.1e-08	1 (1-1)	0	0.98
c(beta = "-8.5e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.24", 	-8.5e-07	1 (1-1)	0.24	0.62
c(beta = "-1.4e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.04", 	-1.4e-09	1 (1-1)	0.04	0.85
c(beta = "-7.8e-10", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	-7.8e-10	1 (1-1)	0	0.97
c(beta = "1.2e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.22", 	1.2e-07	1 (1-1)	0.22	0.64
c(beta = "2.5e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.1", 	2.5e-07	1 (1-1)	0.1	0.76
c(beta = "-1.1e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1.3", 	-1.1e-06	1 (1-1)	1.3	0.25
c(beta = "2e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.16", 	2e-06	1 (1-1)	0.16	0.69
c(beta = "7.1e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.19", 	7.1e-07	1 (1-1)	0.19	0.67
c(beta = "-1.3e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.68", 	-1.3e-08	1 (1-1)	0.68	0.41
c(beta = "7.5e-10", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.07", 	7.5e-10	1 (1-1)	0.07	0.79
c(beta = "7.2e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.06", 	7.2e-09	1 (1-1)	0.06	0.8
c(beta = "2.8e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	2.8e-09	1 (1-1)	0	0.96
c(beta = "-4.5e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	-4.5e-09	1 (1-1)	0	1
c(beta = "1.3e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.17", 	1.3e-06	1 (1-1)	0.17	0.68
c(beta = "-1.3e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	-1.3e-08	1 (1-1)	0	0.97
c(beta = "1.3e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.6", 	1.3e-06	1 (1-1)	0.6	0.44
c(beta = "-3.3e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "2", 	-3.3e-06	1 (1-1)	2	0.15
c(beta = "3.8e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	3.8e-07	1 (1-1)	0.01	0.93
c(beta = "-5.5e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	-5.5e-08	1 (1-1)	0.01	0.94
c(beta = "-1.8e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.02", 	-1.8e-07	1 (1-1)	0.02	0.9
c(beta = "1.2e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.26", 	1.2e-07	1 (1-1)	0.26	0.61
c(beta = "-1.3e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.36", 	-1.3e-08	1 (1-1)	0.36	0.55
c(beta = "-8.8e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.59", 	-8.8e-07	1 (1-1)	0.59	0.44
c(beta = "8.2e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.76", 	8.2e-08	1 (1-1)	0.76	0.38
c(beta = "1.4e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	1.4e-07	1 (1-1)	0.01	0.94
c(beta = "-1.8e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.07", 	-1.8e-07	1 (1-1)	0.07	0.79
c(beta = "-7.1e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.37", 	-7.1e-09	1 (1-1)	0.37	0.54
c(beta = "7.7e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1.5", 	7.7e-07	1 (1-1)	1.5	0.22
c(beta = "-4e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.05", 	-4e-07	1 (1-1)	0.05	0.83
c(beta = "4.2e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "3.9", 	4.2e-06	1 (1-1)	3.9	0.047
c(beta = "7.1e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.3", 	7.1e-07	1 (1-1)	0.3	0.58
c(beta = "-3e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.75", 	-3e-08	1 (1-1)	0.75	0.39
c(beta = "-1.2e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.35", 	-1.2e-06	1 (1-1)	0.35	0.56
c(beta = "-3.4e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.25", 	-3.4e-08	1 (1-1)	0.25	0.62
c(beta = "-1.3e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.62", 	-1.3e-06	1 (1-1)	0.62	0.43
c(beta = "-3.3e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1", 	-3.3e-08	1 (1-1)	1	0.31
c(beta = "4.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.14", 	4.1e-08	1 (1-1)	0.14	0.71
c(beta = "8.6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.28", 	8.6e-07	1 (1-1)	0.28	0.6
c(beta = "-5.9e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.18", 	-5.9e-08	1 (1-1)	0.18	0.67
c(beta = "-4.1e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.3", 	-4.1e-07	1 (1-1)	0.3	0.58
c(beta = "-3.4e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.7", 	-3.4e-08	1 (1-1)	0.7	0.4
c(beta = "1.7e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "3.5", 	1.7e-06	1 (1-1)	3.5	0.062
c(beta = "2.1e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	2.1e-07	1 (1-1)	0	0.95
