pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Glycolysis / Gluconeogenesis	0.470639484	0.688953745	0.025819931	-0.17705253	-0.99372865	58	"c(""GAPDH"", ""GPI"", ""PGK1"", ""TPI1"", ""LDHB"", ""ENO1"", ""PDHA1"", ""PFKP"", ""PKM"", ""C05378"", ""LDHA"", ""ENO3"", ""ALDOA"", ""DLAT"", ""PGAM1"", ""PGM1"", ""PFKL"", ""DLD"", ""BPGM"", ""C00111"", ""C00186"", ""ADH5"", ""C00197"")"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.033317543	0.160708149	0.069526517	0.438109197	1.599769783	20	"c(""CSGALNACT1"", ""CHSY3"", ""DSEL"", ""CHST15"", ""XYLT1"", ""CHST11"", ""CHST7"", ""DSE"", ""UST"")"
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.987945205	0.997535049	0.007800887	0.131116094	0.486472538	21	"c(""XYLT1"", ""HS3ST1"", ""HS6ST2"", ""GLCE"", ""B3GALT6"", ""NDST2"", ""HS3ST2"", ""B3GAT3"", ""XYLT2"", ""EXTL3"")"
Glycosaminoglycan biosynthesis - keratan sulfate	0.281440228	0.556090759	0.029223049	-0.318862208	-1.146350231	14	"c(""CHST6"", ""B3GNT7"", ""B4GALT3"", ""B4GALT2"", ""CHST4"", ""B4GALT4"")"
Glycosaminoglycan degradation	0.236277425	0.538187468	0.024576477	0.345575371	1.20244242	17	"c(""HPSE2"", ""HYAL1"", ""IDS"", ""IDUA"", ""HYAL2"", ""GNS"", ""NAGLU"", ""HEXB"", ""HEXA"", ""SGSH"", ""ARSB"")"
Glycosphingolipid biosynthesis - ganglio series	0.470078549	0.688953745	0.015953453	0.295150533	0.987778632	15	"c(""ST3GAL5"", ""ST6GALNAC3"", ""ST6GALNAC6"", ""ST6GALNAC5"", ""B3GALT4"", ""HEXB"", ""ST6GALNAC4"", ""ST3GAL2"", ""HEXA"")"
Glycosphingolipid biosynthesis - globo and isoglobo series	0.370029789	0.656376979	0.024991543	-0.295057442	-1.060769069	14	"c(""FUT9"", ""FUT2"", ""ST8SIA1"", ""GBGT1"", ""GLA"")"
Glycosphingolipid biosynthesis - lacto and neolacto series	0.002279202	0.037378917	0.366239395	-0.451129007	-1.975859157	25	"c(""FUT9"", ""FUT3"", ""B3GNT5"", ""GCNT2"", ""B3GNT3"", ""ST3GAL6"", ""FUT2"", ""ST8SIA1"", ""B4GALT3"", ""B3GNT4"")"
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.546209442	0.746486237	0.013745555	0.237514238	0.937518934	26	"c(""PIGG"", ""GPLD1"", ""PIGL"", ""PIGH"", ""PIGS"", ""MPPE1"", ""PIGB"", ""PIGK"", ""PIGN"", ""PIGV"", ""PGAP1"", ""PIGQ"", ""PIGT"", ""PIGO"")"
Glyoxylate and dicarboxylate metabolism	0.768429238	0.875155521	0.017810706	-0.160557144	-0.806987593	39	"c(""GLDC"", ""SHMT2"", ""ACAT2"", ""GCSH"", ""MDH2"", ""PGP"")"
Histidine metabolism	0.029763731	0.152539122	0.072575519	0.401774849	1.601731957	27	"c(""HDC"", ""MAOA"", ""ASPA"", ""MAOB"", ""HNMT"", ""ALDH2"", ""ALDH3A2"", ""CARNS1"", ""ALDH3B1"", ""AMDHD1"", ""ALDH3A1"")"
Inositol phosphate metabolism	0.280640763	0.556090759	0.020038721	0.221538637	1.130384173	73	"c(""INPP4B"", ""INPP5J"", ""PLCH2"", ""INPP5D"", ""PTEN"", ""PIK3CG"", ""PLCD4"", ""PLCB2"", ""PIP5K1B"", ""ALDH6A1"", ""INPP1"", ""PIK3CD"", ""MTMR3"", ""ITPK1"", ""PIP4K2A"", ""PLCE1"", ""INPP5B"", ""INPP5K"", ""MTMR7"", ""PLCD3"", ""PI4K2A"", ""PI4KA"", ""ITPKB"", ""PLCD1"", ""PIK3CA"", ""MTMR6"", ""FIG4"", ""PIK3C2A"", ""MTM1"", ""INPP5A"", ""PIKFYVE"", ""CDIPT"", ""MINPP1"", ""SYNJ1"")"
Linoleic acid metabolism	0.058893658	0.209968692	0.05202591	0.417922323	1.502480095	19	"c(""PLA2G2A"", ""CYP2E1"", ""PLA2G4F"", ""PLA2G4C"", ""PLA2G6"", ""PLB1"", ""JMJD7-PLA2G4B"", ""PLA2G4B"")"
Lysine degradation	0.684997232	0.814054681	0.021371086	-0.151070699	-0.879145761	68	"c(""EZH2"", ""SUV39H2"", ""DHTKD1"", ""PLOD1"", ""ACAT2"", ""PLOD3"", ""AADAT"", ""SUV39H1"", ""KMT2B"", ""PLOD2"", ""SMYD2"", ""NSD2"", ""SETDB1"", ""EHMT2"", ""C03793"", ""CAMKMT"", ""BBOX1"", ""C00047"", ""DLD"", ""KMT5A"", ""C00042"")"
Mannose type O-glycan biosynthesis	0.039798206	0.164888378	0.08507418	-0.365347331	-1.561017691	23	"c(""FUT9"", ""LARGE2"", ""B3GAT1"", ""MGAT5B"", ""POMK"", ""B4GALT3"", ""B3GALNT2"", ""B4GALT2"")"
Metabolism of xenobiotics by cytochrome P450	0.003610374	0.042292956	0.206903935	0.418347283	1.841596051	39	"c(""ADH1B"", ""GSTM5"", ""GSTM2"", ""ADH1C"", ""GSTM3"", ""AKR7A3"", ""CYP2E1"", ""GSTO2"", ""HPGDS"", ""CYP3A5"", ""AKR7L"", ""CYP2S1"", ""ALDH3B1"", ""EPHX1"", ""GSTT2B"", ""ALDH3A1"", ""GSTM4"", ""HSD11B1"")"
Mucin type O-glycan biosynthesis	0.078805789	0.252059086	0.043568486	0.344100214	1.423618667	31	"c(""GALNT15"", ""GALNT16"", ""GALNT5"", ""GCNT4"", ""ST6GALNAC1"", ""GALNT6"", ""ST6GALNAC2"", ""ST6GALNAC3"", ""GALNT17"", ""GALNT10"")"
N-Glycan biosynthesis	0.427160494	0.67359924	0.026422674	-0.189316778	-1.015943615	49	"c(""ALG3"", ""MGAT5B"", ""B4GALT3"", ""MGAT4B"", ""RPN1"", ""DPM1"", ""RPN2"", ""DDOST"", ""STT3A"", ""DOLPP1"", ""DPM3"", ""B4GALT2"", ""C00096"", ""ALG2"", ""DPAGT1"", ""STT3B"", ""DPM2"", ""MOGS"", ""SRD5A3"", ""ALG6"")"
"Neomycin, kanamycin and gentamicin biosynthesis"	0.39122745	0.656376979	0.022876297	-0.379427943	-1.04226406	7	"c(""C00029"", ""C00043"", ""C00025"", ""C00092"", ""HK1"")"
Nicotinate and nicotinamide metabolism	0.814961206	0.915435876	0.009103882	0.168438957	0.750925033	41	"c(""AOX1"", ""ENPP1"", ""BST1"", ""NUDT12"", ""NNMT"", ""NT5E"", ""ENPP3"", ""NMRK1"", ""SIRT3"", ""NMNAT3"", ""NADSYN1"", ""NMNAT1"")"
Nitrogen metabolism	0.037731196	0.164888378	0.066599176	0.500539417	1.5942829	13	"c(""CA12"", ""CPS1"", ""GLUL"", ""GLUD1"", ""CA3"", ""CA8"", ""CA5B"")"
One carbon pool by folate	0.017448201	0.110057881	0.127358993	-0.418360137	-1.706180805	20	"c(""TYMS"", ""SHMT2"", ""MTHFD1L"", ""MTHFD2"", ""GART"", ""ALDH1L2"", ""DHFR"", ""ATIC"", ""FTCD"")"
Other glycan degradation	0.284826974	0.556090759	0.022033465	0.33813719	1.152479366	16	"c(""MAN2B2"", ""FUCA1"", ""MAN2C1"", ""HEXB"", ""ENGASE"", ""HEXA"", ""HEXD"")"
Other types of O-glycan biosynthesis	0.229210699	0.538187468	0.023618677	0.262737305	1.191806971	44	"c(""GALNT15"", ""MFNG"", ""LFNG"", ""GALNT16"", ""GALNT5"", ""GALNT6"", ""GALNT17"", ""GALNT10"", ""GXYLT2"", ""EOGT"", ""GALNT8"")"
Oxidative phosphorylation	1.67E-11	1.37E-09	0.863415392	-0.419443693	-2.794534686	120	"c(""ATP6V1C2"", ""CYCS"", ""ATP5F1C"", ""ATP5MF"", ""COX6B1"", ""ATP6V0A4"", ""NDUFC1"", ""COX7B"", ""ATP5MC3"", ""CYC1"", ""NDUFA6"", ""UQCRH"", ""UQCRFS1"", ""UQCRHL"", ""NDUFB11"", ""NDUFB3"", ""NDUFS5"", ""UQCRB"", ""COX5A"", ""NDUFA1"", ""PPA1"", ""SDHC"", ""NDUFB2"", ""ATP6V1F"", ""NDUFAB1"", ""COX4I1"", ""NDUFB9"", ""ATP5F1E"", ""COX10"", ""ATP5PD"", ""ATP6V0E2"", ""NDUFS2"", ""NDUFA8"", ""C00004"", ""ATP6V1E2"", ""NDUFB4"", ""C00013"", ""ATP5MG"", ""NDUFA9"", ""COX6A1"", ""ATP5PO"", ""COX5B"", ""NDUFS6"", ""NDUFA4"", ""UQCRC1"", ""UQCR10"", ""ATP5MC1"", ""NDUFA12"", ""COX7A2L"", ""ATP5PF"", "
Pantothenate and CoA biosynthesis	0.575957121	0.774237441	0.013139891	0.225622326	0.915527422	29	"c(""ENPP1"", ""DPYD"", ""ALDH2"", ""DPYS"", ""ALDH3A2"", ""CSAD"", ""ENPP3"", ""BCAT2"", ""VNN2"", ""VNN1"")"
Pentose and glucuronate interconversions	0.683824547	0.814054681	0.017808313	-0.203626823	-0.842044888	21	"c(""XYLB"", ""C00167"", ""SORD"", ""RPE"", ""C00029"", ""C00800"", ""C00111"", ""C05385"")"
Pentose phosphate pathway	0.009968283	0.089135885	0.177966128	-0.365829303	-1.766362659	34	"c(""GPI"", ""TKT"", ""TALDO1"", ""PFKP"", ""PRPS2"", ""PGD"", ""C05378"", ""RPE"", ""C00673"", ""ALDOA"", ""G6PD"", ""C00345"", ""PGM1"", ""PFKL"", ""PRPS1"", ""RGN"", ""RPIA"", ""C05382"", ""C00197"", ""C00117"")"
Phenylalanine metabolism	0.17929891	0.474274537	0.028506751	0.347060913	1.267304055	20	"c(""AOC3"", ""MAOA"", ""TAT"", ""MAOB"")"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	0.378560904	0.656376979	0.023898854	-0.334192783	-1.055691661	10	"c(""GOT2"", ""IL4I1"", ""GOT1"", ""C00079"", ""C00078"", ""C00082"", ""C00108"")"
Phosphonate and phosphinate metabolism	0.04331994	0.16915405	0.077056081	-0.466639493	-1.58475939	12	"c(""PCYT1B"", ""C05674"", ""PCYT2"", ""C05673"", ""SELENOI"")"
Porphyrin metabolism	0.652229846	0.810346172	0.018764984	-0.194964349	-0.865632189	26	"c(""CP"", ""HCCS"", ""HMBS"", ""COX10"", ""C00025"", ""ALAS1"", ""HMOX2"", ""EARS2"", ""FXN"", ""C00188"", ""C00037"", ""GUSB"", ""CPOX"", ""BLVRB"", ""MMAB"", ""UROD"", ""PPOX"", ""UROS"", ""C00486"", ""HEPHL1"", ""HMOX1"", ""BLVRA"", ""COX15"", ""FECH"", ""HEPH"", ""ALAD"")"
Primary bile acid biosynthesis	0.350797635	0.65375923	0.019402406	0.325526442	1.089437516	15	"c(""ACOX2"", ""CH25H"", ""CYP7B1"", ""HSD17B4"", ""AMACR"", ""CYP46A1"", ""SCP2"", ""CYP27A1"", ""HSD3B7"")"
Propanoate metabolism	0.191455815	0.490605526	0.026689274	0.295162781	1.242372188	33	"c(""ACACB"", ""ABAT"", ""ACSS3"", ""ALDH6A1"", ""PCCA"", ""ACOX3"", ""ACSS1"", ""ACADS"", ""SUCLG2"", ""MLYCD"", ""ECHDC1"", ""SUCLA2"", ""MCEE"", ""BCKDHA"")"
Purine metabolism	0.329977841	0.629260069	0.017184708	0.18963351	1.085266211	134	"c(""PDE2A"", ""AK5"", ""ADCY5"", ""PDE1A"", ""NPR1"", ""ADCY4"", ""PDE7B"", ""PDE1B"", ""ENPP1"", ""PDE3B"", ""PDE5A"", ""PDE4A"", ""ADCY1"", ""PDE3A"", ""PDE10A"", ""PDE6B"", ""AK7"", ""PDE8B"", ""GUCY1B1"", ""PDE4D"", ""NUDT16"", ""ENTPD8"", ""ENTPD3"", ""PDE11A"", ""ADCY9"")"
Pyrimidine metabolism	0.0058701	0.060168529	0.261019979	-0.284611004	-1.68748266	74	"c(""RRM2"", ""TK1"", ""CTPS1"", ""NME1"", ""TYMS"", ""CMPK2"", ""C00365"", ""DTYMK"", ""UCK2"", ""C00438"", ""C00106"", ""CAD"", ""ENTPD6"", ""RRM1"", ""NME2"", ""NT5C3A"", ""C00015"", ""NME1-NME2"", ""C00105"", ""C00112"", ""NME4"", ""C00429"", ""HDDC2"", ""C00178"", ""C00881"", ""C00055"", ""C01346"", ""NT5C3B"", ""DCK"", ""C00380"", ""CTPS2"", ""DCTPP1"", ""C00214"", ""UMPS"", ""C00475"", ""C00295"", ""NT5C2"")"
Pyruvate metabolism	0.54002753	0.746486237	0.013235609	0.207538614	0.947599136	45	"c(""ADH1B"", ""ACACB"", ""ADH1C"", ""LDHD"", ""ALDH2"", ""ME3"", ""ALDH3A2"", ""ACSS1"", ""PCK1"")"
Retinol metabolism	0.003426744	0.042292956	0.216023848	0.452382612	1.855426494	30	"c(""ADH1B"", ""AOX1"", ""ALDH1A1"", ""ALDH1A2"", ""RDH5"", ""ADH1C"", ""PNPLA4"", ""CYP3A5"", ""DHRS9"", ""RETSAT"", ""CYP2S1"", ""DHRS3"")"
Riboflavin metabolism	0.608466934	0.791972835	0.013475216	0.293007063	0.879982631	11	"c(""ACP5"", ""ENPP1"", ""ENPP3"")"
Selenocompound metabolism	0.961102628	0.997535049	0.008365613	0.159841503	0.556174486	17	"c(""INMT"", ""SEPSECS"", ""PAPSS2"", ""KYAT3"", ""TXNRD2"", ""KYAT1"", ""PSTK"", ""CTH"")"
Sphingolipid metabolism	0.266748043	0.556090759	0.021360487	0.246772884	1.149040332	49	"c(""PLPP3"", ""DEGS2"", ""PLPP1"", ""UGCG"", ""ASAH1"", ""SMPD3"", ""GALC"", ""KDSR"", ""ACER2"", ""SMPD1"", ""CERS6"", ""SGPP1"", ""ARSA"", ""SGMS1"", ""HEXB"", ""CERK"", ""SGMS2"", ""SPTLC2"", ""SPHK2"", ""CERS5"", ""PSAP"", ""HEXA"")"
Starch and sucrose metabolism	0.452252806	0.688953745	0.015805638	0.254878935	1.006061066	26	"c(""AMY2B"", ""ENPP1"", ""MGAM"", ""PYGM"", ""GANC"", ""HK3"", ""ENPP3"", ""GYG2"")"
Steroid biosynthesis	0.023719677	0.129667565	0.108423034	-0.414555025	-1.661716826	19	"c(""SQLE"", ""DHCR7"", ""EBP"", ""LBR"", ""LSS"", ""SOAT1"", ""NSDHL"", ""MSMO1"", ""CYP51A1"", ""HSD17B7"", ""CYP27B1"", ""CEL"")"
Steroid hormone biosynthesis	0.232695253	0.538187468	0.024102551	0.295148871	1.197651355	29	"c(""HSD17B11"", ""CYP21A2"", ""CYP2E1"", ""CYP3A5"", ""CYP7B1"", ""LRTOMT"", ""CYP11A1"", ""SULT2B1"", ""HSD17B8"", ""AKR1C3"", ""STS"")"
Sulfur metabolism	0.626343738	0.802502914	0.018065693	-0.241201195	-0.867149004	14	"c(""C00097"", ""PAPSS1"", ""C00042"", ""BPNT1"", ""MPST"", ""C00320"", ""C00245"")"
Taurine and hypotaurine metabolism	0.064109589	0.219041096	0.049384617	0.400915199	1.487492718	21	"c(""FMO5"", ""FMO2"", ""CDO1"", ""GGT5"", ""FMO1"", ""FMO3"", ""CSAD"", ""FMO4"", ""GAD1"", ""GGT7"")"
Terpenoid backbone biosynthesis	0.011468531	0.089135885	0.159480041	-0.421426991	-1.767743636	22	"c(""PDSS1"", ""ACAT2"", ""FDPS"", ""HMGCS1"", ""MVD"", ""FNTA"", ""NUS1"", ""IDI1"", ""ZMPSTE24"", ""MVK"", ""GGPS1"", ""HMGCR"")"
Thiamine metabolism	0.225669051	0.538187468	0.025244691	0.348975868	1.214274578	17	"c(""AK5"", ""TPK1"", ""AK7"", ""ALPL"", ""AK8"", ""THTPA"")"
Tryptophan metabolism	0.828802565	0.91660274	0.008886392	0.163992235	0.743887849	44	"c(""AOX1"", ""MAOA"", ""INMT"", ""MAOB"", ""ALDH2"", ""ALDH3A2"")"
Tyrosine metabolism	0.016515955	0.110057881	0.09661901	0.396912275	1.683946034	34	"c(""ADH1B"", ""AOC3"", ""AOX1"", ""MAOA"", ""TPO"", ""TAT"", ""ADH1C"", ""MAOB"", ""PNMT"", ""LRTOMT"", ""ALDH3B1"", ""DCT"", ""ALDH3A1"", ""FAH"")"
Ubiquinone and other terpenoid-quinone biosynthesis	0.875726865	0.944483672	0.009663301	0.212572223	0.658634622	12	"c(""TAT"", ""COQ7"", ""COQ6"")"
"Valine, leucine and isoleucine biosynthesis"	0.886893204	0.944483672	0.013444722	-0.218042184	-0.661772032	9	"c(""BCAT1"", ""C00407"", ""C00188"", ""C00183"", ""C00141"", ""SDS"", ""C00022"", ""SDSL"", ""BCAT2"")"
"Valine, leucine and isoleucine degradation"	0.25538329	0.556090759	0.021931694	0.250923132	1.163798594	48	"c(""AOX1"", ""ABAT"", ""ACADSB"", ""ALDH2"", ""ALDH6A1"", ""PCCA"", ""ALDH3A2"", ""MCCC2"", ""ACADS"", ""IVD"", ""AUH"", ""BCAT2"", ""HMGCL"", ""ACAA2"", ""ACADM"", ""MCEE"", ""BCKDHA"", ""ACAD8"", ""ALDH7A1"", ""BCKDHB"", ""HMGCLL1"", ""OXCT1"", ""ALDH1B1"", ""ALDH9A1"", ""ACSF3"", ""HADHB"", ""EHHADH"")"
Various types of N-glycan biosynthesis	0.73865739	0.853097268	0.010222456	0.186154887	0.808974419	37	"c(""MAN1C1"", ""MAN1A1"", ""CHST8"", ""MGAT4A"", ""MAN2A1"", ""FUT8"", ""CHST9"", ""ALG13"", ""ALG11"", ""B4GALNT3"", ""HEXB"", ""MAN2A2"", ""MGAT2"", ""ALG12"", ""HEXA"", ""HEXD"", ""MAN1A2"")"
Vitamin B6 metabolism	0.392225268	0.656376979	0.023605318	-0.317201307	-1.040994824	11	"c(""PSAT1"", ""PDXK"", ""C00250"", ""PDXP"")"
alpha-Linolenic acid metabolism	0.02000162	0.117152343	0.091321466	0.506922084	1.696513289	15	"c(""PLA2G2A"", ""PLA2G4F"", ""PLA2G4C"", ""PLA2G6"", ""PLB1"", ""JMJD7-PLA2G4B"", ""ACOX3"", ""PLA2G4B"")"
beta-Alanine metabolism	0.011957253	0.089135885	0.113777092	0.405460908	1.720214593	34	"c(""AOC3"", ""ABAT"", ""DPYD"", ""ALDH2"", ""DPYS"", ""ALDH6A1"", ""ALDH3A2"", ""CARNS1"", ""CSAD"", ""ACOX3"", ""ACADS"", ""ALDH3B1"", ""GAD1"", ""ALDH3A1"")"
