Pathway	DA_score	Increase_members_num	Decrease_members_num	Measured_members_num	Increase_member_result	Decrease_member_result	Measure_member_result	KEGG_pathwayid	Pathway Category
Fructose and mannose metabolism	-0.111111111111111	6	10	36	MPI;ENOSF1;FBP1;PFKFB1;TKFC;C00267	GMDS;PFKFB2;PFKFB4;TPI1;C00096;C00111;C00186;C02985;C05378;C06192	MPI;PMM2;PMM1;GMPPB;GMPPA;GMDS;FPGT;ENOSF1;HK3;HK1;HK2;PFKM;PFKP;PFKL;FBP1;PFKFB1;PFKFB2;PFKFB3;PFKFB4;TIGAR;KHK;SORD;AKR1B1;ALDOC;ALDOA;ALDOB;TPI1;TKFC;C00096;C00111;C00186;C00267;C01019;C02985;C05378;C06192	hsa00051	Carbohydrate metabolism
Valine, leucine and isoleucine biosynthesis	-0.111111111111111	2	3	9	BCAT2;C00022	C00183;C00188;C00407	SDS;SDSL;BCAT2;BCAT1;C00022;C00141;C00183;C00188;C00407	hsa00290	Amino acid metabolism
Ascorbate and aldarate metabolism	-0.105263157894737	4	6	19	UGDH;KL;ALDH3A2;C00022	C00029;C00096;C00137;C00167;C00800;C05385	UGDH;GUSB;KL;AKR1A1;RGN;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;C00022;C00026;C00029;C00096;C00137;C00167;C00800;C05385;C05411	hsa00053	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	-0.103448275862069	8	14	58	FBP1;ENO4;ADH1B;ADH1C;ALDH3A2;ALDH3B1;C00022;C00267	GPI;TPI1;GAPDH;PGK1;PGAM1;ENO1;PKM;PDHA1;LDHA;LDHB;C00111;C00186;C00197;C05378	HK3;HK1;HK2;GPI;PFKM;PFKP;PFKL;FBP1;ALDOC;ALDOA;ALDOB;TPI1;GAPDH;PGK1;PGAM1;ENO3;ENO2;ENO1;ENO4;PKM;PDHA1;PDHB;DLAT;DLD;LDHAL6B;LDHA;LDHB;ADH1B;ADH1C;ADH5;ADH6;AKR1A1;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;ALDH3B1;ALDH3B2;ALDH3A1;ACSS1;ACSS2;GALM;PGM1;PGM2;G6PC3;ADPGK;BPGM;MINPP1;PCK1;PCK2;C00022;C00074;C00111;C00186;C00197;C00267;C05378	hsa00010	Carbohydrate metabolism
N-Glycan biosynthesis	-0.102040816326531	10	15	49	ALG13;ALG11;ALG10B;MAN1A2;MAN1C1;MAN1A1;MAN2A1;MAN2A2;FUT8;MGAT3	DPAGT1;DPM1;ALG2;ALG3;STT3A;RPN1;RPN2;DDOST;DOLPP1;MOGS;B4GALT2;B4GALT3;MGAT4B;MGAT5B;C00096	SRD5A3;DOLK;DPAGT1;ALG5;ALG13;ALG14;DPM1;DPM2;DPM3;ALG1;ALG2;ALG11;ALG3;ALG9;ALG12;ALG6;ALG8;ALG10;ALG10B;STT3A;STT3B;RPN1;RPN2;DAD1;TUSC3;DDOST;DOLPP1;MOGS;GANAB;MAN1B1;MAN1A2;MAN1C1;MAN1A1;MGAT1;MAN2A1;MAN2A2;MGAT2;FUT8;B4GALT1;B4GALT2;B4GALT3;ST6GAL1;ST6GAL2;MGAT3;MGAT4A;MGAT4B;MGAT5;MGAT5B;C00096	hsa00510	Glycan biosynthesis and metabolism
Pentose and glucuronate interconversions	-0.0952380952380952	5	7	21	KL;UGDH;CRYL1;FGGY;C00022	RPE;XYLB;C00029;C00111;C00167;C00800;C05385	GUSB;KL;UGDH;UGP2;AKR1A1;CRYL1;RPE;XYLB;AKR1B1;DCXR;SORD;DHDH;FGGY;C00022;C00026;C00029;C00111;C00167;C00800;C05385;C05411	hsa00040	Carbohydrate metabolism
Porphyrin metabolism	-0.0769230769230769	3	5	26	ALAD;FECH;COX15	HMBS;COX10;HCCS;C00025;C00188	ALAS1;EARS2;ALAD;HMBS;UROS;UROD;CPOX;PPOX;FECH;COX10;COX15;MMAB;HMOX1;HMOX2;BLVRA;BLVRB;GUSB;HCCS;CP;HEPH;HEPHL1;FXN;C00025;C00037;C00188;C00486	hsa00860	Metabolism of cofactors and vitamins
Galactose metabolism	-0.0714285714285714	3	5	28	MGAM;GANC;C00267	GALE;B4GALT2;C00029;C00111;C00137	GALM;GALK1;GALT;GALE;UGP2;PGM1;PGM2;HK3;HK1;HK2;G6PC3;GLB1;B4GALT1;B4GALT2;GLA;AKR1B1;PFKM;PFKP;PFKL;MGAM;MGAM2;GAA;GANC;C00029;C00111;C00137;C00267;C05401	hsa00052	Carbohydrate metabolism
Selenocompound metabolism	-0.0588235294117647	3	4	17	KYAT3;INMT;SEPSECS	TXNRD1;PAPSS1;SEPHS1;C00041	KYAT3;KYAT1;MTR;CTH;SCLY;TXNRD1;TXNRD3;TXNRD2;INMT;PAPSS2;PAPSS1;SEPHS2;SEPHS1;PSTK;SEPSECS;MARS2;C00041	hsa00450	Metabolism of other amino acids
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	-0.0476190476190476	2	3	21	XYLT1;B3GALT6	EXTL1;HS2ST1;HS6ST1	XYLT1;XYLT2;B4GALT7;B3GALT6;B3GAT3;EXTL2;EXTL3;EXTL1;EXT1;EXT2;NDST1;NDST2;GLCE;HS2ST1;HS6ST1;HS6ST2;HS6ST3;HS3ST1;HS3ST2;HS3ST3B1;HS3ST3A1	hsa00534	Glycan biosynthesis and metabolism
Lysine degradation	-0.0441176470588235	14	17	68	AASS;DLST;HYKK;PHYKPL;SMYD1;SETDB2;PRDM2;EZH1;SETMAR;KMT5B;MECOM;PRDM16;ALDH3A2;C00408	AADAT;DHTKD1;ACAT2;KMT2B;SMYD2;SUV39H1;SUV39H2;EHMT2;SETDB1;EZH2;NSD2;KMT5A;PLOD1;PLOD3;C00042;C00047;C03793	AASS;ALDH7A1;AADAT;DHTKD1;DLST;DLD;GCDH;HADHA;EHHADH;ECHS1;HADH;ACAT2;ACAT1;HYKK;PHYKPL;PIPOX;CAMKMT;KMT2A;KMT2D;KMT2C;KMT2B;KMT2E;SETD1B;SETD1A;SETD7;ASH1L;SMYD2;SMYD3;SMYD1;SUV39H1;SUV39H2;EHMT2;EHMT1;SETDB1;SETDB2;PRDM2;EZH1;EZH2;SETMAR;NSD1;NSD2;NSD3;SETD2;DOT1L;KMT5A;PRDM6;KMT5C;KMT5B;MECOM;PRDM16;TMLHE;ALDH2;ALDH3A2;ALDH1B1;ALDH9A1;BBOX1;PLOD1;PLOD2;PLOD3;COLGALT1;COLGALT2;C00026;C00037;C00042;C00047;C00408;C01259;C03793	hsa00310	Amino acid metabolism
Biosynthesis of unsaturated fatty acids	-0.0294117647058824	8	9	34	ELOVL2;ELOVL5;SCD5;ACOX3;HSD17B4;ACOT4;ACOT2;ACOT1	ELOVL1;ELOVL6;HSD17B12;FADS2;FADS1;ACOT7;C03242;C06429;C16513	ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7;HSD17B12;HACD2;HACD1;HACD4;HACD3;TECR;SCD;SCD5;FADS2;FADS1;ACOX3;ACOX1;HSD17B4;ACAA1;SCP2;ACOT4;ACOT2;ACOT1;ACOT7;C00249;C00712;C01530;C01595;C03242;C06429;C16513;C16526	hsa01040	Lipid metabolism
Various types of N-glycan biosynthesis	-0.027027027027027	8	9	37	ALG13;ALG11;MAN1A2;MAN1C1;MAN1A1;MAN2A1;MAN2A2;FUT8	ALG2;ALG3;STT3A;RPN1;RPN2;DDOST;MGAT4B;B4GALT2;B4GALT3	ALG13;ALG14;ALG1;ALG2;ALG11;ALG3;ALG9;ALG12;STT3A;STT3B;RPN1;RPN2;DAD1;TUSC3;DDOST;MAN1B1;MAN1A2;MAN1C1;MAN1A1;MGAT1;MAN2A1;MAN2A2;MGAT2;HEXA;HEXB;FUT8;HEXD;MGAT4A;MGAT4B;B4GALT1;B4GALT2;B4GALT3;ST3GAL3;B4GALNT3;B4GALNT4;CHST8;CHST9	hsa00513	Glycan biosynthesis and metabolism
Tryptophan metabolism	-0.0227272727272727	7	8	44	DLST;KYAT3;MAOA;ALDH3A2;AOX1;INMT;CAT	IDO1;DHTKD1;ACAT2;AADAT;C00078;C00328;C05635;C05660	TDO2;IDO1;AFMID;KMO;KYNU;HAAO;ACMSD;ALDH8A1;DHTKD1;DLST;DLD;GCDH;HADHA;EHHADH;ECHS1;HADH;ACAT2;ACAT1;KYAT3;KYAT1;AADAT;TPH1;MAOB;MAOA;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;AOX1;CYP1B1;INMT;IL4I1;AOC1;CAT;C00078;C00108;C00328;C00632;C02220;C03722;C05635;C05653;C05660	hsa00380	Amino acid metabolism
Butanoate metabolism	0	6	6	27	ACADS;ACSM1;ACSM5;ABAT;HMGCL;C00022	ACAT2;HMGCS1;C00025;C00042;C00122;C02630	ACAT2;ACAT1;HADH;HADHA;EHHADH;ECHS1;ACADS;ACSM1;ACSM5;ACSM3;L2HGDH;GAD1;ABAT;ALDH5A1;HMGCS1;HMGCL;HMGCLL1;OXCT1;OXCT2;AACS;BDH1;C00022;C00025;C00026;C00042;C00122;C02630	hsa00650	Carbohydrate metabolism
Glycosphingolipid biosynthesis - globo and isoglobo series	0	1	1	14	A4GALT	FUT9	B3GALNT1;GBGT1;A4GALT;GLA;B3GALT5;HEXA;HEXB;NAGA;FUT1;FUT2;ST3GAL1;ST3GAL2;ST8SIA1;FUT9	hsa00603	Glycan biosynthesis and metabolism
Riboflavin metabolism	0	2	2	11	ACP5;ENPP1	FLAD1;C00255	RFK;ACP5;ACP1;ACP2;FLAD1;ENPP1;ENPP3;BLVRB;C00016;C00044;C00255	hsa00740	Metabolism of cofactors and vitamins
Pantothenate and CoA biosynthesis	0	7	7	29	ENPP1;BCAT2;DPYD;DPYS;CSAD;ALDH3A2;C00022	PANK1;C00010;C00097;C00106;C00183;C00429;C02642	PANK1;PANK3;PANK2;PPCS;PPCDC;ENPP1;ENPP3;COASY;AASDHPPT;VNN1;VNN2;BCAT2;BCAT1;DPYD;DPYS;UPB1;CSAD;ALDH2;ALDH3A2;ALDH1B1;C00010;C00022;C00049;C00097;C00106;C00141;C00183;C00429;C02642	hsa00770	Metabolism of cofactors and vitamins
