name	beta	HR (95% CI for HR)	wald.test	p.value
C01595	-1.8e-09	1 (1-1)	0.07	0.8
C06427	5.9e-09	1 (1-1)	0.02	0.9
C00047	1.5e-07	1 (1-1)	0.08	0.77
C00149	-3.6e-07	1 (1-1)	0.75	0.39
C00208	-5.4e-07	1 (1-1)	1	0.31
C01835	-2.1e-06	1 (1-1)	0.9	0.34
C00159	-3.9e-07	1 (1-1)	0.49	0.49
C00275	-3.8e-07	1 (1-1)	0.3	0.58
C00073	-7e-08	1 (1-1)	0.7	0.4
C02989	-1.6e-06	1 (1-1)	0.81	0.37
C00137	-1.5e-09	1 (1-1)	0	0.95
C06424	-2e-08	1 (1-1)	0.19	0.67
C08322	-1.3e-07	1 (1-1)	0.07	0.79
C12270	1.3e-06	1 (1-1)	2	0.16
C03878	3.4e-06	1 (1-1)	2.4	0.12
C00357	-1.9e-07	1 (1-1)	0.01	0.93
C02712	-1.6e-07	1 (1-1)	0.01	0.94
C00270	2.9e-07	1 (1-1)	3.3	0.068
C00437	7.1e-06	1 (1-1)	0.36	0.55
C02494	-1.2e-06	1 (1-1)	0.2	0.66
C02727	2e-06	1 (1-1)	0.68	0.41
C00153	-6e-07	1 (1-1)	0.44	0.51
C00712	5.9e-09	1 (1-1)	0.04	0.85
C00077	1.1e-08	1 (1-1)	0	0.98
C01468	-8.5e-07	1 (1-1)	0.24	0.62
C00249	-1.4e-09	1 (1-1)	0.04	0.85
C08362	-7.8e-10	1 (1-1)	0	0.97
C02990	1.2e-07	1 (1-1)	0.22	0.64
C00864	2.5e-07	1 (1-1)	0.1	0.76
C12600	-1.1e-06	1 (1-1)	1.3	0.25
C02180	2e-06	1 (1-1)	0.16	0.69
C05597	7.1e-07	1 (1-1)	0.19	0.67
C00079	-1.3e-08	1 (1-1)	0.68	0.41
C00009	7.5e-10	1 (1-1)	0.07	0.79
C00346	7.2e-09	1 (1-1)	0.06	0.8
C00148	2.8e-09	1 (1-1)	0	0.96
C03017	-4.5e-09	1 (1-1)	0	1
C02067	1.3e-06	1 (1-1)	0.17	0.68
C00134	-1.3e-08	1 (1-1)	0	0.97
C00013	1.3e-06	1 (1-1)	0.6	0.44
C00022	-3.3e-06	1 (1-1)	2	0.15
C00255	3.8e-07	1 (1-1)	0.01	0.93
C00121	-5.5e-08	1 (1-1)	0.01	0.94
C00021	-1.8e-07	1 (1-1)	0.02	0.9
C06153	1.2e-07	1 (1-1)	0.26	0.61
C00065	-1.3e-08	1 (1-1)	0.36	0.55
C00315	-8.8e-07	1 (1-1)	0.59	0.44
C00319	8.2e-08	1 (1-1)	0.76	0.38
C00751	1.4e-07	1 (1-1)	0.01	0.94
C10172	-1.8e-07	1 (1-1)	0.07	0.79
C01530	-7.1e-09	1 (1-1)	0.37	0.54
C16300	7.7e-07	1 (1-1)	1.5	0.22
C00550	-4e-07	1 (1-1)	0.05	0.83
C00042	4.2e-06	1 (1-1)	3.9	0.047
C00245	7.1e-07	1 (1-1)	0.3	0.58
C00188	-3e-08	1 (1-1)	0.75	0.39
C01157	-1.2e-06	1 (1-1)	0.35	0.56
C00078	-3.4e-08	1 (1-1)	0.25	0.62
C09213	-1.3e-06	1 (1-1)	0.62	0.43
C00082	-3.3e-08	1 (1-1)	1	0.31
C00106	4.1e-08	1 (1-1)	0.14	0.71
C00366	8.6e-07	1 (1-1)	0.28	0.6
C00086	-5.9e-08	1 (1-1)	0.18	0.67
C00299	-4.1e-07	1 (1-1)	0.3	0.58
C00183	-3.4e-08	1 (1-1)	0.7	0.4
C00385	1.7e-06	1 (1-1)	3.5	0.062
C01762	2.1e-07	1 (1-1)	0	0.95
