name	type	logFC	AveExpr	t	p_value	adj.P.Val	B	logP	colors
POLN	gene	7.1	11.9873591282331	6.21221135437998	5.91377406073524e-07	1.97782888031256e-05	6.0582219439869	4.70381128581811	#CE8F8F
POLQ	gene	-9.85	20.5067436548048	-8.43965390593728	1.22277788389195e-09	4.9272710691249e-07	11.6731715759476	6.30739354477058	#5FDF5F
FMOD	gene	15.43	28.2434998303807	7.11028025796289	4.59663596160987e-08	3.50350463700557e-06	8.398201853263	5.45549730336675	#EF3030
GALNT15	gene	12.32	18.2906911006235	6.68960972390971	2.46724545021927e-07	1.07945409718642e-05	6.82571194437788	4.96679582091891	#EF3030
OGN	gene	18.2	22.8061394669165	7.80605742308957	8.35531422595519e-09	1.22377588387671e-06	9.92058053541214	5.91229810940254	#FF0000
PDIA4	gene	-5.68	36.4608296146907	-6.91918090507214	7.86866047100459e-08	4.99069790373466e-06	7.90769117660213	5.30183871799439	#8FCE8F
PLOD3	gene	-4.43	29.9825258571174	-5.8595409357988	1.6386524056277e-06	4.13095110171181e-05	5.11931748282412	4.3839499457599	#8FCE8F
ACADSB	gene	7.89	28.5749857564962	6.15434823789574	6.98681901007077e-07	2.2559803418154e-05	5.9047829305812	4.64666468903191	#CE8F8F
AOX1	gene	14.53	18.9843774751607	8.6335518920974	9.5782909299971e-10	4.47633864804786e-07	11.8513771649002	6.34907706525917	#EF3030
CAV1	gene	9.26	32.8044677538241	6.95289183501316	7.15489837452784e-08	4.73617779445039e-06	7.99454030386118	5.32457200271685	#DF5F5F
MAOA	gene	12.46	20.6773734362571	7.19495310778764	3.62669572019278e-08	2.94093558424217e-06	8.61409287183428	5.53151448780661	#EF3030
NOSTRIN	gene	10.62	19.9197454444015	7.27669242799404	2.88707481024646e-08	2.61589599771259e-06	8.82163319094591	5.5823795266006	#DF5F5F
EEF1AKMT4	gene	-7.15	17.2366997610944	-7.60435826951823	1.16566139283187e-08	1.46050703423465e-06	9.6446578105648	5.83549634699448	#8FCE8F
ETFBKMT	gene	4.95	17.2696748594258	6.03219860895678	9.9410287916767e-07	2.90366332748991e-05	5.58004252460343	4.53705374041328	#CE8F8F
TRMO	gene	3.29	20.426508165658	6.49854174345484	2.60006191755381e-07	1.11802662454814e-05	6.8132900452204	4.95154785409122	#BEBEBE
GPT2	gene	-8.56	28.3504559999232	-6.00159890612595	1.08605889510018e-06	3.07984521808407e-05	5.49852698166498	4.51147110902589	#5FDF5F
ABAT	gene	10.38	21.7863140162264	5.96061264450644	1.22278390465707e-06	3.32548535418144e-05	5.38924571901627	4.47814496050828	#DF5F5F
GGH	gene	-8.08	24.4299551034193	-6.67985575240048	1.55028456675804e-07	7.89458786208077e-06	7.2873669022358	5.10267053746013	#5FDF5F
NAALAD2	gene	9.17	13.3697702540558	7.24571893910882	3.14742917344844e-08	2.7367895887802e-06	8.74309179432683	5.56275859095099	#DF5F5F
PSAT1	gene	-11.58	22.6814621330536	-7.66506425446232	9.86682027706776e-09	1.358332258143e-06	9.79551564851366	5.86699398541011	#5FDF5F
SLC7A5	gene	-10.07	30.536982487952	-5.8153158029979	1.86284822076432e-06	4.51474448166568e-05	5.00102496360878	4.34536682416395	#5FDF5F
CBS	gene	-12.49	19.845748177555	-5.8040153719698	1.92492124515295e-06	4.61331665218236e-05	4.97078230923279	4.33598673494826	#30EF30
